QUEST_UNUSED_20150317_000001	なるほど、パードナーマスターへの道だな。武運を祈る！
QUEST_UNUSED_20150317_000002	長い道のり気を付けて。
QUEST_UNUSED_20150317_000003	これでパードナーへ入門が許されるだろう。富も女神の大きな祝福であることを留意してくれ。
QUEST_UNUSED_20150317_000004	早くパードナーマスターのところへ戻ってみよう。{nl}その水の瓶を長い時間を探しておられたよ。
QUEST_UNUSED_20150317_000005	門番フクロウの彫像
QUEST_UNUSED_20150317_000006	テスラ様は木を掘って私たちを作ってくれました。{nl}だから、私たちフクロウはいつも恩返しをしたいと思ってるんですよ。{nl}
QUEST_UNUSED_20150317_000007	そこでなんですけど、お願いしたいことがあるんです。{nl}大聖堂で大理石の欠片を集めてテスラ様に届けてくれませんか？
QUEST_UNUSED_20150317_000008	大聖堂の大理石なら、テスラ様に喜んでもらえると思うんです。
QUEST_UNUSED_20150317_000009	フクロウの彫像たちからの贈り物か？{nl}あのかわいい奴らこそが、わしの生きて来た証なんじゃよ。{nl}
QUEST_UNUSED_20150317_000010	とにかく…何だか今日は良い事がありそうな気がしていたが…ありがたい事じゃの。
QUEST_UNUSED_20150317_000011	君をクラペダで初めて見た時は、その細い腕で剣を扱えるのかと心配していたが…。{nl}しかし、今は多くの者たちに賞賛される勇者中の勇者になったな。{nl}
QUEST_UNUSED_20150317_000012	だが、私は君の勇気をこの目で確認したいと思っている。{nl}この暗い森を魔気で覆うバンシー…。君にはピッタリの挑戦だろう。
QUEST_UNUSED_20150317_000013	大したことではない。ただ狩るだけだからな。{nl}では、クラペダで待っているぞ。
QUEST_UNUSED_20150317_000014	来たか。待っていたぞ。{nl}これなら君の勇気にふさわしい報酬だろう。
QUEST_UNUSED_20150317_000015	フフ、本当に頑張るね。{nl}あんたがまだ見習いウィザードだった時を思い出したよ。あの時も頑張ってたよね…。{nl}
QUEST_UNUSED_20150317_000016	今のあんたがどれだけ成長したのか、見せてよ。{nl}この森を荒らすバンシーならちょうど良いんじゃない？
